DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2014-Q1,2244.9,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2014-Q2,2645.8,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2014-Q3,2495.0,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2014-Q4,2583.5,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2015-Q1,2273.1,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2015-Q2,2728.3,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2015-Q3,2579.3,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2015-Q4,2684.6,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2016-Q1,2407.8,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2016-Q2,2787.2,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2016-Q3,2675.3,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2016-Q4,2851.9,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2017-Q1,2586.2,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2017-Q2,3051.8,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2017-Q3,2898.9,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2017-Q4,3026.2,,
